thanh_pho,quan_huyen,dien_tich_m2,so_phong_ngu,so_phong_tam,so_tang,mat_tien_m,huong_nha,phap_ly,gia_trieu_vnd,gia_trieu_per_m2
Hà Nội,Hoàng Mai,108.8,4,3,5,5.0,Bắc,Sổ đỏ/Sổ hồng,12608.8,115.89
Cần Thơ,Ninh Kiều,317.6,3,3,2,4.0,Tây Bắc,Hợp đồng mua bán,13415.9,42.24
TP.HCM,Quận 1,233.7,2,1,4,12.0,Bắc,Sổ đỏ/Sổ hồng,75592.8,323.46
Hải Phòng,Hồng Bàng,26.6,2,1,3,4.0,Tây Bắc,Đang chờ sổ,851.8,32.02
Hà Nội,Thanh Xuân,83.1,3,2,4,2.0,Tây Bắc,Sổ đỏ/Sổ hồng,7173.9,86.33
TP.HCM,Tân Bình,106.4,3,2,3,8.0,Tây Bắc,Sổ đỏ/Sổ hồng,13837.3,130.05
TP.HCM,Quận 1,88.5,4,4,3,12.0,Đông,Sổ đỏ/Sổ hồng,35611.8,402.39
TP.HCM,Phú Nhuận,312.1,4,4,5,2.0,Đông Bắc,Đang chờ sổ,50685.1,162.4
Hải Phòng,Lê Chân,124.4,2,2,2,12.0,Tây,Sổ đỏ/Sổ hồng,6768.0,54.41
TP.HCM,Thủ Đức,47.9,2,2,5,3.0,Tây Nam,Sổ đỏ/Sổ hồng,5369.5,112.1
Đà Nẵng,Hải Châu,69.4,4,4,2,10.0,Tây,Hợp đồng mua bán,5440.3,78.39
Hải Phòng,Ngô Quyền,26.7,3,2,3,12.0,Đông Bắc,Hợp đồng mua bán,1498.4,56.12
Hà Nội,Hoàn Kiếm,55.5,3,2,2,3.0,Tây Nam,Đang chờ sổ,12416.6,223.72
Hải Phòng,Hồng Bàng,37.1,4,3,3,6.0,Đông,Hợp đồng mua bán,1515.2,40.84
Cần Thơ,Cái Răng,52.7,2,1,3,4.0,Tây Nam,Sổ đỏ/Sổ hồng,1288.4,24.45
Cần Thơ,Bình Thủy,130.0,4,4,3,3.0,Tây Nam,Sổ đỏ/Sổ hồng,3536.3,27.2
Hà Nội,Nam Từ Liêm,248.8,2,1,2,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,25180.7,101.21
TP.HCM,Phú Nhuận,232.4,3,2,3,8.0,Đông Nam,Sổ đỏ/Sổ hồng,41308.5,177.75
TP.HCM,Phú Nhuận,64.1,3,2,1,2.0,Đông Bắc,Hợp đồng mua bán,8933.6,139.37
TP.HCM,Quận 9,273.1,4,3,2,8.0,Đông Nam,Sổ đỏ/Sổ hồng,27630.8,101.17
TP.HCM,Quận 3,109.8,1,1,3,2.0,Tây Bắc,Hợp đồng mua bán,14999.6,136.61
Hà Nội,Long Biên,331.9,4,3,5,12.0,Bắc,Sổ đỏ/Sổ hồng,43219.7,130.22
TP.HCM,Quận 7,291.7,3,3,5,3.0,Nam,Sổ đỏ/Sổ hồng,37502.9,128.57
Hà Nội,Hoàn Kiếm,37.7,3,3,1,12.0,Đông Nam,Hợp đồng mua bán,8305.5,220.31
Đà Nẵng,Hải Châu,186.2,4,3,3,6.0,Tây Bắc,Hợp đồng mua bán,13506.3,72.54
Hà Nội,Hoàng Mai,162.6,3,3,5,12.0,Bắc,Sổ đỏ/Sổ hồng,20309.4,124.9
Hà Nội,Thanh Xuân,102.5,4,4,4,2.0,Đông Bắc,Đang chờ sổ,9094.8,88.73
Đà Nẵng,Liên Chiểu,316.0,3,2,5,4.0,Bắc,Sổ đỏ/Sổ hồng,17829.5,56.42
TP.HCM,Bình Thạnh,211.4,3,3,1,5.0,Đông,Sổ đỏ/Sổ hồng,22526.2,106.56
Hải Phòng,Kiến An,281.6,2,1,5,8.0,Tây Nam,Sổ đỏ/Sổ hồng,12499.1,44.39
TP.HCM,Quận 3,339.8,4,3,3,6.0,Đông Bắc,Sổ đỏ/Sổ hồng,78429.1,230.81
Hà Nội,Hoàn Kiếm,314.9,2,2,1,4.0,Tây Bắc,Sổ đỏ/Sổ hồng,67710.7,215.02
Đà Nẵng,Hải Châu,217.4,3,2,1,6.0,Bắc,Sổ đỏ/Sổ hồng,14894.5,68.51
Hải Phòng,Lê Chân,166.2,3,2,3,3.0,Bắc,Sổ đỏ/Sổ hồng,5603.9,33.72
TP.HCM,Quận 1,246.3,2,2,3,2.0,Đông,Hợp đồng mua bán,49810.2,202.23
Cần Thơ,Ninh Kiều,340.2,1,1,1,6.0,Nam,Đang chờ sổ,11767.6,34.59
TP.HCM,Quận 2,195.0,3,2,2,2.0,Đông Nam,Hợp đồng mua bán,24071.0,123.44
Đà Nẵng,Sơn Trà,116.3,5,4,3,12.0,Bắc,Sổ đỏ/Sổ hồng,7535.9,64.8
TP.HCM,Thủ Đức,139.8,3,2,3,5.0,Tây Bắc,Sổ đỏ/Sổ hồng,9925.2,71.0
Hà Nội,Thanh Xuân,289.5,4,4,2,4.0,Đông Nam,Đang chờ sổ,26544.2,91.69
TP.HCM,Quận 2,160.9,5,4,3,6.0,Tây Nam,Sổ đỏ/Sổ hồng,27845.6,173.06
TP.HCM,Quận 1,147.4,4,4,5,4.0,Đông,Hợp đồng mua bán,37840.3,256.72
TP.HCM,Quận 1,29.4,2,1,4,10.0,Đông Nam,Đang chờ sổ,8704.7,296.08
Đà Nẵng,Liên Chiểu,271.1,3,3,3,8.0,Đông,Đang chờ sổ,10922.5,40.29
Hà Nội,Ba Đình,271.0,1,1,2,3.0,Tây,Sổ đỏ/Sổ hồng,58466.8,215.74
TP.HCM,Quận 1,204.4,3,2,4,2.0,Tây Bắc,Sổ đỏ/Sổ hồng,50842.8,248.74
Đà Nẵng,Thanh Khê,286.6,5,4,1,8.0,Tây,Sổ đỏ/Sổ hồng,14122.2,49.27
TP.HCM,Quận 3,138.2,3,2,5,8.0,Tây Nam,Sổ đỏ/Sổ hồng,35843.9,259.36
Đà Nẵng,Thanh Khê,326.1,3,2,1,6.0,Tây,Sổ đỏ/Sổ hồng,15020.6,46.06
Hà Nội,Cầu Giấy,199.6,3,2,2,8.0,Tây Bắc,Sổ đỏ/Sổ hồng,26864.9,134.59
Hà Nội,Cầu Giấy,309.2,3,2,2,3.0,Nam,Sổ đỏ/Sổ hồng,42428.6,137.22
Hà Nội,Hai Bà Trưng,53.8,2,2,3,8.0,Tây,Sổ đỏ/Sổ hồng,6741.5,125.31
Hà Nội,Hoàng Mai,284.8,3,3,3,4.0,Tây Nam,Sổ đỏ/Sổ hồng,19221.3,67.49
Hải Phòng,Kiến An,268.2,2,2,3,12.0,Đông Bắc,Sổ đỏ/Sổ hồng,12201.3,45.49
TP.HCM,Quận 3,267.9,1,1,2,4.0,Tây Nam,Hợp đồng mua bán,50884.7,189.94
Hà Nội,Hoàn Kiếm,170.4,3,3,2,10.0,Đông Nam,Sổ đỏ/Sổ hồng,55317.0,324.63
Đà Nẵng,Thanh Khê,199.0,2,2,3,5.0,Tây,Hợp đồng mua bán,9109.9,45.78
Hà Nội,Hai Bà Trưng,215.7,4,4,3,3.0,Đông,Sổ đỏ/Sổ hồng,32048.7,148.58
TP.HCM,Thủ Đức,186.9,3,3,2,8.0,Đông Nam,Sổ đỏ/Sổ hồng,17756.9,95.01
Hà Nội,Hà Đông,316.4,2,2,1,6.0,Bắc,Đang chờ sổ,24972.5,78.93
TP.HCM,Bình Thạnh,26.7,5,4,2,4.0,Đông Bắc,Đang chờ sổ,2709.5,101.48
TP.HCM,Quận 7,297.5,2,1,2,4.0,Bắc,Sổ đỏ/Sổ hồng,34977.4,117.57
Hà Nội,Hoàng Mai,274.5,2,1,2,5.0,Đông Nam,Sổ đỏ/Sổ hồng,20672.4,75.31
Hà Nội,Hoàng Mai,203.3,3,2,2,3.0,Bắc,Sổ đỏ/Sổ hồng,17808.7,87.6
Đà Nẵng,Sơn Trà,178.8,3,3,2,2.0,Đông Nam,Hợp đồng mua bán,12050.4,67.4
Hà Nội,Hà Đông,347.1,2,2,1,12.0,Tây Bắc,Sổ đỏ/Sổ hồng,36416.7,104.92
Hà Nội,Nam Từ Liêm,268.9,4,4,2,6.0,Nam,Hợp đồng mua bán,27564.2,102.51
TP.HCM,Quận 9,152.5,4,4,4,12.0,Nam,Sổ đỏ/Sổ hồng,17549.3,115.08
TP.HCM,Quận 1,100.5,4,4,3,6.0,Tây Bắc,Sổ đỏ/Sổ hồng,28129.0,279.89
TP.HCM,Quận 7,229.0,3,2,2,10.0,Đông Nam,Sổ đỏ/Sổ hồng,42493.3,185.56
TP.HCM,Gò Vấp,269.5,4,4,4,8.0,Bắc,Sổ đỏ/Sổ hồng,34629.3,128.49
Hải Phòng,Hồng Bàng,58.4,3,3,4,12.0,Bắc,Sổ đỏ/Sổ hồng,4038.4,69.15
Hà Nội,Đống Đa,259.7,4,4,3,5.0,Bắc,Hợp đồng mua bán,33793.6,130.13
Đà Nẵng,Thanh Khê,136.3,2,2,3,8.0,Nam,Sổ đỏ/Sổ hồng,9151.3,67.14
TP.HCM,Quận 2,108.2,4,4,5,5.0,Tây Bắc,Hợp đồng mua bán,17346.1,160.32
Đà Nẵng,Thanh Khê,275.7,3,3,3,6.0,Đông Bắc,Đang chờ sổ,14699.0,53.32
TP.HCM,Phú Nhuận,345.1,4,3,4,2.0,Tây Nam,Sổ đỏ/Sổ hồng,49441.0,143.27
TP.HCM,Quận 2,266.9,2,2,1,2.0,Nam,Sổ đỏ/Sổ hồng,38556.0,144.46
Hải Phòng,Ngô Quyền,176.4,3,3,3,4.0,Nam,Sổ đỏ/Sổ hồng,7410.8,42.01
Hà Nội,Long Biên,78.8,1,1,3,10.0,Nam,Sổ đỏ/Sổ hồng,7444.1,94.47
TP.HCM,Tân Bình,342.1,3,2,3,5.0,Tây Nam,Đang chờ sổ,30932.1,90.42
TP.HCM,Tân Bình,163.7,4,3,2,6.0,Đông,Sổ đỏ/Sổ hồng,18009.5,110.02
TP.HCM,Quận 3,120.6,4,3,3,5.0,Đông,Sổ đỏ/Sổ hồng,25620.4,212.44
Hà Nội,Ba Đình,133.7,2,2,3,3.0,Nam,Sổ đỏ/Sổ hồng,29729.2,222.36
Hà Nội,Hoàn Kiếm,306.8,3,3,2,12.0,Tây Nam,Hợp đồng mua bán,63776.5,207.88
Hà Nội,Thanh Xuân,83.0,4,4,4,4.0,Tây Bắc,Đang chờ sổ,7681.2,92.54
Đà Nẵng,Ngũ Hành Sơn,331.9,2,1,2,12.0,Tây,Sổ đỏ/Sổ hồng,17373.7,52.35
Hà Nội,Cầu Giấy,64.9,4,4,3,3.0,Đông,Hợp đồng mua bán,8057.3,124.15
Hà Nội,Hoàn Kiếm,143.0,1,1,3,8.0,Tây Bắc,Sổ đỏ/Sổ hồng,37645.0,263.25
Hà Nội,Đống Đa,341.7,4,4,4,12.0,Nam,Hợp đồng mua bán,64409.7,188.5
TP.HCM,Quận 7,191.5,4,3,3,10.0,Đông,Sổ đỏ/Sổ hồng,34794.0,181.69
Cần Thơ,Bình Thủy,317.7,4,4,1,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,9125.3,28.72
Hà Nội,Ba Đình,156.7,3,2,2,3.0,Đông Bắc,Sổ đỏ/Sổ hồng,37372.1,238.49
Hải Phòng,Kiến An,106.5,3,3,2,6.0,Đông,Sổ đỏ/Sổ hồng,3475.0,32.63
TP.HCM,Quận 3,79.0,4,4,1,4.0,Tây,Sổ đỏ/Sổ hồng,16115.9,204.0
TP.HCM,Bình Thạnh,258.7,3,3,5,10.0,Tây Nam,Đang chờ sổ,27577.7,106.6
TP.HCM,Quận 9,35.1,3,3,4,2.0,Đông Bắc,Đang chờ sổ,1938.3,55.22
TP.HCM,Quận 3,59.6,2,2,3,6.0,Nam,Sổ đỏ/Sổ hồng,13655.9,229.13
Hà Nội,Hoàn Kiếm,284.8,4,3,1,5.0,Nam,Sổ đỏ/Sổ hồng,87491.7,307.2
Cần Thơ,Ninh Kiều,333.8,3,3,1,12.0,Tây Bắc,Hợp đồng mua bán,14924.3,44.71
Đà Nẵng,Liên Chiểu,250.0,4,4,5,5.0,Tây Nam,Hợp đồng mua bán,8503.8,34.02
TP.HCM,Quận 9,216.2,5,4,3,3.0,Tây Nam,Sổ đỏ/Sổ hồng,18928.7,87.55
Hà Nội,Hà Đông,340.6,5,4,4,5.0,Tây Nam,Sổ đỏ/Sổ hồng,31589.5,92.75
TP.HCM,Thủ Đức,99.8,2,1,4,4.0,Tây Bắc,Sổ đỏ/Sổ hồng,8646.6,86.64
TP.HCM,Thủ Đức,200.3,4,4,4,2.0,Tây Bắc,Sổ đỏ/Sổ hồng,20061.5,100.16
TP.HCM,Quận 7,307.8,1,1,2,3.0,Tây Bắc,Đang chờ sổ,24521.7,79.67
Hà Nội,Ba Đình,155.6,3,3,3,5.0,Tây Nam,Sổ đỏ/Sổ hồng,28260.8,181.62
Hà Nội,Đống Đa,264.7,2,2,3,12.0,Đông Bắc,Hợp đồng mua bán,42306.2,159.83
TP.HCM,Quận 1,320.9,1,1,3,12.0,Bắc,Sổ đỏ/Sổ hồng,127047.3,395.91
Đà Nẵng,Sơn Trà,216.3,5,5,5,4.0,Đông Bắc,Sổ đỏ/Sổ hồng,12527.7,57.92
Cần Thơ,Cái Răng,155.5,4,3,3,6.0,Đông Bắc,Sổ đỏ/Sổ hồng,4083.5,26.26
Hà Nội,Ba Đình,336.1,4,4,1,10.0,Tây Nam,Hợp đồng mua bán,80830.0,240.49
Cần Thơ,Ninh Kiều,109.6,3,2,3,12.0,Nam,Hợp đồng mua bán,5074.7,46.3
Hà Nội,Nam Từ Liêm,217.7,3,2,3,12.0,Nam,Sổ đỏ/Sổ hồng,29488.1,135.45
Hà Nội,Hoàn Kiếm,305.2,4,3,5,4.0,Nam,Sổ đỏ/Sổ hồng,83292.3,272.91
Hà Nội,Thanh Xuân,40.9,3,3,2,6.0,Bắc,Sổ đỏ/Sổ hồng,5362.7,131.12
TP.HCM,Quận 7,293.0,3,2,3,6.0,Đông Nam,Hợp đồng mua bán,41391.4,141.27
Hải Phòng,Kiến An,301.4,4,4,2,6.0,Đông,Đang chờ sổ,6855.6,22.75
TP.HCM,Tân Bình,311.5,5,5,1,10.0,Tây,Sổ đỏ/Sổ hồng,32193.7,103.35
Đà Nẵng,Thanh Khê,290.8,4,4,2,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,12807.4,44.04
TP.HCM,Thủ Đức,109.4,3,2,4,12.0,Đông Bắc,Sổ đỏ/Sổ hồng,9849.7,90.03
TP.HCM,Quận 3,136.1,3,2,4,8.0,Bắc,Sổ đỏ/Sổ hồng,35092.1,257.84
Hải Phòng,Kiến An,255.2,2,1,3,8.0,Tây,Sổ đỏ/Sổ hồng,10479.4,41.06
Cần Thơ,Cái Răng,339.9,4,4,3,5.0,Tây Nam,Sổ đỏ/Sổ hồng,11596.5,34.12
TP.HCM,Quận 7,107.1,1,1,2,6.0,Bắc,Sổ đỏ/Sổ hồng,14592.6,136.25
Hà Nội,Long Biên,293.4,3,2,1,8.0,Bắc,Hợp đồng mua bán,22499.5,76.69
Cần Thơ,Ninh Kiều,331.7,3,3,5,4.0,Đông,Sổ đỏ/Sổ hồng,14823.3,44.69
Hà Nội,Hai Bà Trưng,99.7,2,1,4,12.0,Bắc,Sổ đỏ/Sổ hồng,15878.2,159.26
TP.HCM,Quận 2,307.3,4,4,3,3.0,Bắc,Sổ đỏ/Sổ hồng,49754.8,161.91
Hà Nội,Hà Đông,324.3,3,2,3,8.0,Đông Bắc,Sổ đỏ/Sổ hồng,32276.7,99.53
Hà Nội,Nam Từ Liêm,90.2,3,3,3,6.0,Đông Nam,Sổ đỏ/Sổ hồng,10484.2,116.23
Cần Thơ,Ninh Kiều,28.8,2,1,3,10.0,Tây Nam,Hợp đồng mua bán,1413.4,49.08
Đà Nẵng,Ngũ Hành Sơn,278.5,1,1,4,2.0,Đông,Sổ đỏ/Sổ hồng,16500.7,59.25
Hà Nội,Hai Bà Trưng,225.9,4,3,4,3.0,Bắc,Sổ đỏ/Sổ hồng,30047.9,133.01
Hải Phòng,Ngô Quyền,35.8,2,1,2,8.0,Tây Nam,Sổ đỏ/Sổ hồng,1866.3,52.13
Đà Nẵng,Thanh Khê,79.4,2,2,2,4.0,Đông Bắc,Sổ đỏ/Sổ hồng,4297.2,54.12
TP.HCM,Quận 2,255.4,4,3,3,5.0,Đông Bắc,Sổ đỏ/Sổ hồng,38187.0,149.52
TP.HCM,Bình Thạnh,219.2,4,4,3,2.0,Bắc,Hợp đồng mua bán,19216.0,87.66
Hà Nội,Long Biên,236.3,3,3,2,10.0,Đông Bắc,Sổ đỏ/Sổ hồng,21391.6,90.53
Đà Nẵng,Sơn Trà,77.5,1,1,2,12.0,Tây Bắc,Đang chờ sổ,4584.6,59.16
Hà Nội,Cầu Giấy,96.7,3,3,2,5.0,Đông,Hợp đồng mua bán,14368.2,148.59
Đà Nẵng,Ngũ Hành Sơn,229.3,4,3,5,12.0,Tây,Hợp đồng mua bán,14908.1,65.02
TP.HCM,Phú Nhuận,153.5,3,3,5,8.0,Tây Nam,Sổ đỏ/Sổ hồng,31185.2,203.16
Hải Phòng,Kiến An,149.8,3,3,4,4.0,Tây,Hợp đồng mua bán,5213.4,34.8
Hà Nội,Hoàn Kiếm,83.8,4,4,3,8.0,Bắc,Sổ đỏ/Sổ hồng,24869.9,296.78
TP.HCM,Bình Thạnh,217.7,2,2,2,5.0,Tây,Hợp đồng mua bán,18099.7,83.14
TP.HCM,Thủ Đức,153.9,2,2,2,4.0,Đông Bắc,Sổ đỏ/Sổ hồng,13723.1,89.17
Hà Nội,Nam Từ Liêm,165.0,2,2,5,2.0,Tây Bắc,Sổ đỏ/Sổ hồng,15702.6,95.17
TP.HCM,Phú Nhuận,198.4,4,3,4,5.0,Tây Nam,Hợp đồng mua bán,26696.9,134.56
Hà Nội,Hoàn Kiếm,345.7,2,2,5,6.0,Đông,Sổ đỏ/Sổ hồng,98929.6,286.17
Hải Phòng,Hồng Bàng,58.6,3,2,2,6.0,Tây,Đang chờ sổ,1730.8,29.54
Cần Thơ,Bình Thủy,341.3,3,2,3,3.0,Tây Nam,Hợp đồng mua bán,7983.5,23.39
Hà Nội,Đống Đa,254.0,2,2,2,6.0,Đông,Hợp đồng mua bán,26516.1,104.39
Hà Nội,Hai Bà Trưng,108.0,4,4,5,3.0,Đông Bắc,Sổ đỏ/Sổ hồng,15417.8,142.76
Hải Phòng,Kiến An,274.8,2,2,3,2.0,Đông,Sổ đỏ/Sổ hồng,9502.1,34.58
TP.HCM,Phú Nhuận,212.6,3,2,5,8.0,Tây Nam,Đang chờ sổ,31844.3,149.79
Hải Phòng,Hồng Bàng,54.4,3,3,4,6.0,Đông Bắc,Sổ đỏ/Sổ hồng,3125.5,57.45
Đà Nẵng,Thanh Khê,310.3,3,3,4,12.0,Đông Bắc,Sổ đỏ/Sổ hồng,16154.3,52.06
Hà Nội,Hoàng Mai,153.8,4,3,3,2.0,Đông,Sổ đỏ/Sổ hồng,12315.2,80.07
Hà Nội,Cầu Giấy,79.7,3,2,3,4.0,Đông Nam,Hợp đồng mua bán,12099.0,151.81
TP.HCM,Phú Nhuận,289.5,2,2,3,6.0,Tây Nam,Sổ đỏ/Sổ hồng,52613.6,181.74
Đà Nẵng,Thanh Khê,257.5,3,3,2,10.0,Tây Bắc,Sổ đỏ/Sổ hồng,17018.6,66.09
Hà Nội,Cầu Giấy,44.6,5,4,2,8.0,Đông Nam,Sổ đỏ/Sổ hồng,8164.0,183.05
TP.HCM,Quận 7,213.8,2,1,4,2.0,Đông Nam,Sổ đỏ/Sổ hồng,26596.6,124.4
Hà Nội,Hoàng Mai,284.9,2,2,2,3.0,Đông Nam,Sổ đỏ/Sổ hồng,30600.4,107.41
TP.HCM,Tân Bình,290.1,3,3,3,4.0,Đông Nam,Sổ đỏ/Sổ hồng,40090.2,138.19
Hải Phòng,Hồng Bàng,283.0,3,2,3,6.0,Tây,Đang chờ sổ,10381.8,36.68
Hà Nội,Thanh Xuân,123.2,4,3,3,3.0,Đông,Sổ đỏ/Sổ hồng,14227.2,115.48
TP.HCM,Quận 3,74.7,2,1,4,10.0,Đông Nam,Sổ đỏ/Sổ hồng,15642.9,209.41
TP.HCM,Tân Bình,202.7,2,1,3,2.0,Đông Bắc,Sổ đỏ/Sổ hồng,19108.6,94.27
TP.HCM,Quận 3,156.4,3,3,4,4.0,Tây Nam,Sổ đỏ/Sổ hồng,37349.9,238.81
TP.HCM,Gò Vấp,213.0,3,2,2,6.0,Đông,Sổ đỏ/Sổ hồng,20802.2,97.66
TP.HCM,Gò Vấp,140.4,2,2,4,5.0,Đông Nam,Sổ đỏ/Sổ hồng,17599.7,125.35
Hà Nội,Hà Đông,236.5,3,3,3,8.0,Đông Bắc,Sổ đỏ/Sổ hồng,21275.1,89.96
TP.HCM,Quận 7,262.5,3,2,3,3.0,Bắc,Đang chờ sổ,29868.3,113.78
Đà Nẵng,Thanh Khê,56.4,3,2,1,12.0,Bắc,Đang chờ sổ,2650.5,46.99
TP.HCM,Tân Bình,154.8,2,2,4,12.0,Bắc,Sổ đỏ/Sổ hồng,22823.1,147.44
Hà Nội,Hai Bà Trưng,54.0,4,4,3,5.0,Đông Bắc,Sổ đỏ/Sổ hồng,5794.4,107.3
Hà Nội,Long Biên,110.5,3,3,2,2.0,Đông,Sổ đỏ/Sổ hồng,10982.4,99.39
Hà Nội,Hoàng Mai,220.2,3,3,4,10.0,Đông Bắc,Sổ đỏ/Sổ hồng,21601.7,98.1
TP.HCM,Quận 1,62.8,4,4,3,3.0,Đông Bắc,Hợp đồng mua bán,12497.0,199.0
Hà Nội,Nam Từ Liêm,129.8,1,1,3,3.0,Đông Bắc,Đang chờ sổ,11148.1,85.89
Đà Nẵng,Hải Châu,180.8,3,3,3,8.0,Tây Bắc,Hợp đồng mua bán,10386.5,57.45
TP.HCM,Quận 2,293.2,4,3,1,3.0,Bắc,Sổ đỏ/Sổ hồng,46800.6,159.62
TP.HCM,Bình Thạnh,167.8,2,1,1,4.0,Đông Bắc,Sổ đỏ/Sổ hồng,18780.3,111.92
TP.HCM,Phú Nhuận,278.7,3,2,3,3.0,Đông Nam,Sổ đỏ/Sổ hồng,44987.3,161.42
TP.HCM,Quận 2,71.2,2,1,2,10.0,Tây Bắc,Hợp đồng mua bán,10184.7,143.04
TP.HCM,Thủ Đức,289.5,3,2,2,5.0,Bắc,Hợp đồng mua bán,25362.2,87.61
Đà Nẵng,Liên Chiểu,140.1,3,2,4,6.0,Đông Nam,Hợp đồng mua bán,5069.5,36.18
TP.HCM,Phú Nhuận,31.2,3,2,3,12.0,Tây Nam,Sổ đỏ/Sổ hồng,5706.1,182.89
Đà Nẵng,Liên Chiểu,342.2,4,4,1,2.0,Nam,Sổ đỏ/Sổ hồng,15413.7,45.04
TP.HCM,Tân Bình,73.5,2,1,2,5.0,Tây,Sổ đỏ/Sổ hồng,7177.6,97.65
TP.HCM,Gò Vấp,152.5,5,5,5,2.0,Tây Bắc,Sổ đỏ/Sổ hồng,16163.2,105.99
TP.HCM,Quận 1,298.3,1,1,4,5.0,Nam,Sổ đỏ/Sổ hồng,91253.3,305.91
TP.HCM,Quận 1,224.5,2,1,4,6.0,Tây Bắc,Đang chờ sổ,49888.4,222.22
Hà Nội,Hà Đông,52.6,4,4,4,4.0,Tây Bắc,Sổ đỏ/Sổ hồng,4494.2,85.44
TP.HCM,Bình Thạnh,138.7,4,4,4,4.0,Nam,Sổ đỏ/Sổ hồng,20778.5,149.81
Đà Nẵng,Thanh Khê,31.8,2,1,4,12.0,Tây Bắc,Sổ đỏ/Sổ hồng,2430.7,76.44
TP.HCM,Quận 7,64.5,3,2,1,2.0,Tây,Sổ đỏ/Sổ hồng,8714.5,135.11
Hà Nội,Đống Đa,120.2,5,4,3,12.0,Tây Nam,Sổ đỏ/Sổ hồng,20961.8,174.39
Hà Nội,Hoàng Mai,134.9,5,5,1,12.0,Nam,Sổ đỏ/Sổ hồng,13547.5,100.43
Hà Nội,Đống Đa,103.2,2,1,3,2.0,Tây Bắc,Đang chờ sổ,11077.4,107.34
Hà Nội,Long Biên,300.1,5,4,3,8.0,Đông Nam,Đang chờ sổ,30623.8,102.05
TP.HCM,Tân Bình,238.3,2,1,4,2.0,Đông Bắc,Sổ đỏ/Sổ hồng,28456.1,119.41
Hà Nội,Thanh Xuân,260.9,4,4,3,10.0,Tây Bắc,Sổ đỏ/Sổ hồng,30795.3,118.03
Đà Nẵng,Hải Châu,190.2,3,3,2,8.0,Tây Nam,Sổ đỏ/Sổ hồng,17124.5,90.03
TP.HCM,Thủ Đức,175.0,1,1,4,4.0,Đông,Sổ đỏ/Sổ hồng,14416.6,82.38
Hải Phòng,Ngô Quyền,91.3,3,2,4,4.0,Nam,Hợp đồng mua bán,3929.1,43.04
TP.HCM,Bình Thạnh,26.7,4,3,4,8.0,Đông Bắc,Hợp đồng mua bán,3836.8,143.7
